date,chlorophyll,temperature,precipitation
2022-01,2.07999992370605,0,0.77
2022-02,1.64999997615814,0,0.51
2022-03,0,0,0.52
2022-04,0,0,2.99
2022-05,0,0,4.29
2022-06,0,0,2.61
2022-07,0,0,5.01
2022-08,0,0,6.46
2022-09,0,0,2.91
2022-10,0,0,5.54
2022-11,0,0,7.49
2022-12,0,0,3.89
2023-01,0,0,4.25
2023-02,0,0,3.15
2023-03,0,0,3.37
2023-04,0,0,1.16
2023-05,0,0,0.08
2023-06,0,0,0.19
2023-07,0,0,0.46
2023-08,0,0,5.72
2023-09,0,0,4.74
2023-10,0,0,2.75
2023-11,0,0,4.75
2023-12,0,0,1.64
2024-01,0,0,0.81
2024-02,0,0,0.28
